Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
91,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,29-024,1993,2.0,2.00,2.05,1.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
92,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,23-201,1998,11.6,0.52,0.52,0.43,0.00,0.00,0.09,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
93,Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,de Bundesliga,23-257,1998,3.5,1.71,1.70,1.14,0.29,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
94,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,31-275,1990,28.8,1.46,1.46,1.18,0.00,0.07,0.10,0.03,0.07,0.14,0.14,0.10,0.00,0.00,0.03,0.00,0.00,Matches
95,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,27-225,1994,19.1,1.52,1.51,1.05,0.00,0.10,0.16,0.16,0.05,0.26,0.26,0.10,0.00,0.00,0.16,0.00,0.00,Matches
96,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,32-242,1989,11.2,1.25,1.25,1.07,0.09,0.00,0.09,0.00,0.00,0.18,0.18,0.09,0.00,0.00,0.09,0.00,0.00,Matches
97,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,25-121,1997,24.6,3.09,3.09,1.91,0.89,0.08,0.12,0.04,0.04,0.41,0.41,0.24,0.16,0.00,0.00,0.00,0.00,Matches
98,Ebenezer Annan\39aa05a7,gh GHA,DF,Bologna,it Serie A,19-257,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,35-227,1986,6.5,3.54,3.54,2.31,0.46,0.31,0.31,0.15,0.00,0.77,0.77,0.62,0.00,0.00,0.15,0.00,0.00,Matches
100,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,it Serie A,19-260,2002,7.8,1.41,1.42,1.03,0.00,0.26,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
