Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
72,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-269,1998,13.4,2.69,1.87,1.04,1.34,0.30,0.90,1.57,57.1,0.67,10.6,4.18,39.4,3.96,5.52,1.12,1.79,0.52,0.00,1.27,2.69,5.37,4.78,0.00,Matches
73,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-318,1985,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,10.0,33.3,20.0,10.0,0.00,10.0,0.00,0.00,10.0,0.00,0.00,10.0,0.00,Matches
74,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,27-101,1995,18.7,1.76,1.02,0.96,0.80,0.00,0.37,0.64,58.3,0.27,6.47,2.73,42.1,2.94,3.21,0.32,1.18,0.80,0.05,0.37,2.57,4.33,4.65,0.00,Matches
75,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38-364,1983,8.3,3.01,1.69,1.33,1.33,0.36,1.33,3.01,44.0,1.69,13.9,3.73,27.0,5.18,6.39,2.29,1.08,0.24,0.00,0.84,1.45,4.46,0.48,0.00,Matches
76,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-239,1998,4.5,2.00,1.78,0.67,1.11,0.22,0.67,1.11,60.0,0.44,17.6,4.44,25.3,6.67,8.22,2.67,1.11,0.22,0.00,0.89,3.11,5.11,2.22,0.00,Matches
77,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,29-029,1993,9.0,2.00,1.11,1.11,0.89,0.00,0.67,2.00,33.3,1.33,18.8,5.44,29.0,9.00,9.33,0.44,1.22,0.22,0.00,1.00,2.33,4.33,3.33,0.00,Matches
78,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-166,2001,0.9,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.0,2.22,13.3,4.44,33.3,6.67,6.67,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,27-135,1994,20.1,1.14,0.60,0.65,0.45,0.05,0.80,1.49,53.3,0.70,7.21,2.39,33.1,3.93,2.99,0.30,2.04,1.00,0.05,1.04,1.49,2.64,4.78,0.10,Matches
80,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-293,1996,9.8,2.65,1.33,1.12,1.22,0.31,0.71,2.04,35.0,1.33,21.1,4.69,22.2,5.10,9.18,6.84,1.84,0.20,0.00,1.63,1.12,3.78,0.41,0.00,Matches
81,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,28-057,1994,1.4,5.00,2.14,2.86,1.43,0.71,3.57,6.43,55.6,2.86,9.29,1.43,15.4,4.29,4.29,0.71,0.71,0.00,0.00,0.71,0.71,5.71,0.71,0.00,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,28-057,1994,4.0,3.00,1.00,1.75,1.25,0.00,2.50,4.50,55.6,2.00,12.3,3.50,28.6,7.25,3.25,1.75,3.00,0.25,0.00,2.75,2.50,5.50,2.00,0.00,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,24-086,1998,26.4,2.01,1.17,1.21,0.53,0.27,0.68,1.25,54.5,0.57,14.7,5.04,34.2,7.65,5.08,2.01,2.42,0.83,0.00,1.59,1.59,3.60,2.50,0.00,Matches
84,Nadiem Amiri\555d5edd,de GER,MFFW,Genoa,it Serie A,25-190,1996,5.0,2.00,1.40,0.60,0.80,0.60,0.40,1.40,28.6,1.00,22.8,7.80,34.2,4.60,11.6,6.60,1.40,0.00,0.00,1.40,0.40,2.40,0.00,0.00,Matches
85,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-190,1996,4.1,1.95,0.98,0.98,0.49,0.49,0.98,1.71,57.1,0.73,13.9,5.61,40.4,3.41,7.32,3.17,1.22,0.24,0.00,0.98,1.22,3.17,0.49,0.00,Matches
86,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,it Serie A,21-233,2000,22.4,3.04,1.70,1.70,1.03,0.31,0.71,1.74,41.0,1.03,17.1,4.96,29.1,8.39,7.37,1.29,2.23,0.63,0.00,1.61,2.28,5.31,2.72,0.00,Matches
87,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-257,1996,8.5,3.18,2.12,1.76,1.06,0.35,1.65,3.06,53.8,1.41,24.0,6.82,28.4,7.65,13.2,3.18,3.06,0.82,0.00,2.24,1.06,4.24,0.82,0.12,Matches
88,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-339,1996,28.4,1.20,0.77,0.88,0.32,0.00,0.49,0.95,51.9,0.46,5.04,1.80,35.7,3.10,1.73,0.21,1.27,0.60,0.00,0.67,2.01,3.20,4.75,0.07,Matches
89,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,29-020,1993,29.1,2.47,1.48,1.03,1.03,0.41,0.89,3.02,29.5,2.13,23.7,5.53,23.3,5.91,10.5,7.35,1.89,0.17,0.03,1.72,1.24,3.71,0.55,0.03,Matches
90,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30-294,1991,14.0,0.93,0.64,0.07,0.29,0.57,0.50,0.79,63.6,0.29,13.7,4.21,30.7,0.14,5.43,8.14,0.50,0.00,0.00,0.50,0.21,1.14,0.64,0.00,Matches
